id,imdb_id,original_language,original_title,release_date,title,video
9089,tt0113321,en,Home for the Holidays,1995-11-02,Home for the Holidays,FALSE
11010,tt0110877,it,Il postino,1994-09-22,The Postman,FALSE
99040,tt0112714,fr,Le confessionnal,1995-09-29,The Confessional,FALSE
11359,tt0113419,en,The Indian in the Cupboard,1995-07-14,The Indian in the Cupboard,FALSE
17182,tt0116260,en,Eye for an Eye,1996-01-12,Eye for an Eye,FALSE
2054,tt0113862,en,Mr. Holland's Opus,1995-12-29,Mr. Holland's Opus,FALSE
10607,tt0116126,en,Don't Be a Menace to South Central While Drinking Your Juice in the Hood,1996-01-12,Don't Be a Menace to South Central While Drinking Your Juice in the Hood,FALSE
19760,tt0118002,en,Two If by Sea,1996-01-12,Two If by Sea,FALSE
9536,tt0115683,en,Bio-Dome,1996-01-12,Bio-Dome,FALSE
11525,tt0116839,en,Lawnmower Man 2: Beyond Cyberspace,1996-01-12,Lawnmower Man 2: Beyond Cyberspace,FALSE
40628,tt0114753,en,Two Bits,1995-10-22,Two Bits,FALSE
4482,tt0113149,fr,Gazon maudit,1995-02-08,French Twist,FALSE
10634,tt0113118,en,Friday,1995-04-26,Friday,FALSE
755,tt0116367,en,From Dusk Till Dawn,1996-01-19,From Dusk Till Dawn,FALSE
11859,tt0113010,en,Fair Game,1995-11-03,Fair Game,FALSE
28387,tt0113537,en,Kicking and Screaming,1995-10-06,Kicking and Screaming,FALSE
48750,tt0113828,fr,Les misérables,1995-03-22,Les Miserables,FALSE
20927,tt0115644,en,Bed of Roses,1996-01-26,Bed of Roses,FALSE
36929,tt0115676,en,Big Bully,1996-01-26,Big Bully,FALSE
9102,tt0114367,en,Screamers,1995-09-08,Screamers,FALSE
124626,tt0113973,en,Nico Icon,1995-02-18,Nico Icon,FALSE
27526,tt0112744,en,The Crossing Guard,1995-11-15,The Crossing Guard,FALSE
9623,tt0116731,en,The Juror,1996-02-02,The Juror,FALSE
46785,tt0112445,fa,بادکنک سفید,1995-01-01,The White Balloon,FALSE
400,tt0114660,en,Things to Do in Denver When You're Dead,1995-12-01,Things to Do in Denver When You're Dead,FALSE
880,tt0112379,nl,Antonia,1995-09-12,Antonia's Line,FALSE
146599,tt0114039,en,Once Upon a Time... When We Were Colored,1996-01-26,Once Upon a Time... When We Were Colored,FALSE
188588,tt0113612,en,Last Summer in the Hamptons,1995-11-22,Last Summer in the Hamptons,FALSE
8447,tt0112365,en,Angels and Insects,1995-09-10,Angels and Insects,FALSE
10534,tt0118158,en,White Squall,1996-02-02,White Squall,FALSE
17414,tt0116151,en,Dunston Checks In,1996-01-12,Dunston Checks In,FALSE
13997,tt0115697,en,Black Sheep,1996-02-01,Black Sheep,FALSE
2086,tt0113972,en,Nick of Time,1995-11-22,Nick of Time,FALSE
61548,tt0113490,en,The Journey of August King,1995-09-14,The Journey of August King,FALSE
9095,tt0117002,en,Mary Reilly,1996-02-23,Mary Reilly,FALSE
12158,tt0114825,en,Vampire in Brooklyn,1995-10-26,Vampire in Brooklyn,FALSE
9283,tt0115639,en,Beautiful Girls,1996-02-09,Beautiful Girls,FALSE
9208,tt0115759,en,Broken Arrow,1996-02-09,Broken Arrow,FALSE
40154,tt0113403,en,A Midwinter's Tale,1995-12-01,A Midwinter's Tale,FALSE
406,tt0113247,fr,La Haine,1995-05-31,La Haine,FALSE
45549,tt0111173,en,Shopping,1994-12-06,Shopping,FALSE
63076,tt0113283,en,Heidi Fleiss: Hollywood Madam,1995-12-27,Heidi Fleiss: Hollywood Madam,FALSE
11062,tt0115907,en,City Hall,1996-02-16,City Hall,FALSE
13685,tt0115734,en,Bottle Rocket,1996-02-21,Bottle Rocket,FALSE
47475,tt0117102,en,Mr. Wrong,1996-02-16,Mr. Wrong,FALSE
2045,tt0118040,en,Unforgettable,1996-02-23,Unforgettable,FALSE
9614,tt0116483,en,Happy Gilmore,1996-02-16,Happy Gilmore,FALSE
688,tt0112579,en,The Bridges of Madison County,1995-05-28,The Bridges of Madison County,FALSE
11907,tt0110251,de,Keiner liebt mich,1994-11-07,Nobody Loves Me,FALSE
10874,tt0117110,en,Muppet Treasure Island,1996-02-16,Muppet Treasure Island,FALSE
89333,tt0112646,en,Catwalk,1995-12-08,Catwalk,FALSE
96357,tt0113276,en,Headless Body in Topless Bar,1995-05-20,Headless Body in Topless Bar,FALSE
197,tt0112573,en,Braveheart,1995-05-24,Braveheart,FALSE
103,tt0075314,en,Taxi Driver,1976-02-07,Taxi Driver,FALSE
33542,tt0113326,cn,紅番區,1995-01-30,Rumble in the Bronx,FALSE
43566,tt0115645,en,Before and After,1996-02-23,Before and After,FALSE
71754,tt0113774,en,Margaret's Museum,1995-09-13,Margaret's Museum,FALSE
43612,tt0112556,en,Le Bonheur est dans le pré,1995-01-31,Happiness Is in the Field,FALSE
51352,tt0112373,en,Anne Frank Remembered,1995-06-08,Anne Frank Remembered,FALSE
16934,tt0115033,en,The Young Poisoner's Handbook,1995-01-20,The Young Poisoner's Handbook,FALSE
10324,tt0116606,en,If Lucy Fell,1996-03-08,If Lucy Fell,FALSE
78406,tt0114536,en,Steal Big Steal Little,1995-09-29,Steal Big Steal Little,FALSE
55731,tt0117427,en,Race the Sun,1996-03-22,Race the Sun,FALSE
32119,tt0106473,en,The Boys of St. Vincent,1992-12-06,The Boys of St. Vincent,FALSE
11066,tt0103859,en,Boomerang,1992-06-30,Boomerang,FALSE
11104,tt0109424,cn,重慶森林,1994-07-14,Chungking Express,FALSE
37975,tt0114808,it,L'uomo delle stelle,1995-09-21,The Star Maker,FALSE
2074,tt0116324,en,Flirting with Disaster,1996-03-22,Flirting with Disaster,FALSE
27793,tt0110647,en,The NeverEnding Story III,1994-10-26,The Neverending Story III: Escape from Fantasia,FALSE
44284,tt0111055,ar,صمت القصور,1994-09-30,The Silences of the Palace,FALSE
290157,tt0110217,en,Jupiter's Wife,1995-01-01,Jupiter's Wife,FALSE
110972,tt0114131,en,Pie in the Sky,1996-02-09,Pie in the Sky,FALSE
32622,tt0112364,en,Angela,1995-01-01,Angela,FALSE
73067,tt0113107,it,Frankie Starlight,1995-11-22,Frankie Starlight,FALSE
11863,tt0113451,en,Jade,1995-10-13,Jade,FALSE
55475,tt0114015,es,Nueba Yol,1995-08-16,Nueba Yol,FALSE
124636,tt0114500,en,Sonic Outlaws,1995-08-01,Sonic Outlaws,FALSE
9101,tt0116130,en,Down Periscope,1996-03-01,Down Periscope,FALSE
123360,tt0113125,en,From the Journals of Jean Seberg,1995-09-08,From the Journals of Jean Seberg,FALSE
5757,tt0113756,en,Man of the Year,1995-09-15,Man of the Year,FALSE
39428,tt0113952,en,The Neon Bible,1995-08-23,The Neon Bible,FALSE
124639,tt0114618,en,Target,1995-08-01,Target,FALSE
9302,tt0118055,en,Up Close & Personal,1996-03-01,Up Close & Personal,FALSE
11000,tt0115685,en,The Birdcage,1996-03-08,The Birdcage,FALSE
249882,tt0113200,en,Gospa,1995-10-12,Virgin Mary,FALSE
16388,tt0112585,en,The Brothers McMullen,1995-08-09,The Brothers McMullen,FALSE
9737,tt0112442,en,Bad Boys,1995-04-07,Bad Boys,FALSE
30765,tt0112342,en,The Amazing Panda Adventure,1995-08-25,The Amazing Panda Adventure,FALSE
10474,tt0112461,en,The Basketball Diaries,1995-04-21,The Basketball Diaries,FALSE
22279,tt0112427,en,An Awfully Big Adventure,1995-07-21,An Awfully Big Adventure,FALSE
30157,tt0109093,en,Amateur,1994-08-05,Amateur,FALSE
568,tt0112384,en,Apollo 13,1995-06-30,Apollo 13,FALSE
11780,tt0114287,en,Rob Roy,1995-04-13,Rob Roy,FALSE
34996,tt0112288,en,The Addiction,1995-01-10,The Addiction,FALSE
414,tt0112462,en,Batman Forever,1995-06-16,Batman Forever,FALSE
649,tt0061395,fr,Belle de jour,1967-05-24,Belle de Jour,FALSE
1873,tt0112495,en,Beyond Rangoon,1995-05-24,Beyond Rangoon,FALSE
5894,tt0112541,en,Blue in the Face,1995-09-15,Blue in the Face,FALSE
1775,tt0109370,en,Canadian Bacon,1995-06-08,Canadian Bacon,FALSE
8839,tt0112642,en,Casper,1995-05-26,Casper,FALSE
20649,tt0112688,en,Clockers,1995-09-15,Clockers,FALSE
10329,tt0112715,en,Congo,1995-06-09,Congo,FALSE
8963,tt0112740,en,Crimson Tide,1995-05-12,Crimson Tide,FALSE
26564,tt0109508,en,Crumb,1994-09-10,Crumb,FALSE
8068,tt0112851,en,Desperado,1995-08-25,Desperado,FALSE
8512,tt0112857,en,Devil in a Blue Dress,1995-09-15,Devil in a Blue Dress,FALSE
1572,tt0112864,en,Die Hard: With a Vengeance,1995-05-19,Die Hard: With a Vengeance,FALSE
13552,tt0112887,en,The Doom Generation,1995-10-27,The Doom Generation,FALSE
259209,tt0113044,en,Feast of July,1995-10-12,Feast of July,FALSE
6520,tt0113071,en,First Knight,1995-07-07,First Knight,FALSE
9073,tt0113114,en,Free Willy 2 - The Adventure Home,1995-07-19,Free Willy 2 - The Adventure Home,FALSE
10428,tt0113243,en,Hackers,1995-09-14,Hackers,FALSE
17447,tt0113464,en,Jeffrey,1995-08-18,Jeffrey,FALSE
9886,tt0113481,en,Johnny Mnemonic,1995-05-26,Johnny Mnemonic,FALSE
9482,tt0113492,en,Judge Dredd,1995-06-30,Judge Dredd,FALSE
19326,tt0113500,en,Jury Duty,1995-04-12,Jury Duty,FALSE
9344,tt0113540,en,Kids,1995-07-28,Kids,FALSE
9071,tt0113677,en,Living in Oblivion,1995-01-20,Living in Oblivion,FALSE
8973,tt0113690,en,Lord of Illusions,1995-08-25,Lord of Illusions,FALSE
15730,tt0107447,en,Love & Human Remains,1993-05-20,Love & Human Remains,FALSE
47608,tt0113729,en,Mad Love,1995-05-26,Mad Love,FALSE
2293,tt0113749,en,Mallrats,1995-10-20,Mallrats,FALSE
9070,tt0113820,en,Mighty Morphin Power Rangers: The Movie,1995-06-30,Mighty Morphin Power Rangers: The Movie,FALSE
68274,tt0113851,en,Moonlight and Valentino,1995-09-29,Moonlight and Valentino,FALSE
48787,tt0110604,en,Mute Witness,1995-09-28,Mute Witness,FALSE
34574,tt0110620,en,Nadja,1994-09-13,Nadja,FALSE
1642,tt0113957,en,The Net,1995-07-28,The Net,FALSE
11472,tt0113986,en,Nine Months,1995-07-12,Nine Months,FALSE
36196,tt0114095,en,Party Girl,1995-06-09,Party Girl,FALSE
11980,tt0114194,en,The Prophecy,1995-09-01,The Prophecy,FALSE
58372,tt0114241,en,Reckless,1995-11-17,Reckless,FALSE
32646,tt0114323,en,Safe,1995-06-23,Safe,FALSE
10533,tt0114345,en,The Scarlet Letter,1995-10-13,The Scarlet Letter,FALSE
56088,tt0114435,en,The Show,1995-08-25,The Show,FALSE
10802,tt0114436,en,Showgirls,1995-09-22,Showgirls,FALSE
10149,tt0114478,en,Smoke,1995-06-09,Smoke,FALSE
18402,tt0114496,en,Something to Talk About,1995-08-04,Something to Talk About,FALSE
9348,tt0114508,en,Species,1995-07-07,Species,FALSE
139408,tt0114534,en,The Stars Fell on Henrietta,1995-09-15,The Stars Fell on Henrietta,FALSE
281,tt0114558,en,Strange Days,1995-10-13,Strange Days,FALSE
5967,tt0058450,fr,Les parapluies de Cherbourg,1964-02-19,The Umbrellas of Cherbourg,FALSE
79593,tt0114666,en,The Tie That Binds,1995-09-08,The Tie That Binds,FALSE
47939,tt0114663,en,Three Wishes,1995-10-27,Three Wishes,FALSE
36834,tt0114702,en,Total Eclipse,1995-11-02,Total Eclipse,FALSE
9090,tt0114682,en,"To Wong Foo, Thanks for Everything! Julie Newmar",1995-09-07,"To Wong Foo, Thanks for Everything! Julie Newmar",FALSE
3512,tt0114781,en,Under Siege 2: Dark Territory,1995-07-13,Under Siege 2: Dark Territory,FALSE
52856,tt0114798,en,Unstrung Heroes,1995-09-15,Unstrung Heroes,FALSE
77350,tt0114805,en,Unzipped,1995-08-11,Unzipped,FALSE
9560,tt0114887,en,A Walk in the Clouds,1995-08-11,A Walk in the Clouds,FALSE
9804,tt0114898,en,Waterworld,1995-07-28,Waterworld,FALSE
31611,tt0114928,en,White Man's Burden,1995-12-01,White Man's Burden,FALSE
65796,tt0114938,en,Wild Bill,1995-12-01,Wild Bill,FALSE
49805,tt0109340,en,The Browning Version,1994-10-12,The Browning Version,FALSE
26258,tt0112602,en,Bushwhacked,1995-08-04,Bushwhacked,FALSE
50797,tt0111579,ru,Утомлённые солнцем,1994-05-01,Burnt by the Sun,FALSE
19155,tt0110882,en,Before the Rain,1994-06-09,Before the Rain,FALSE
76,tt0112471,en,Before Sunrise,1995-01-27,Before Sunrise,FALSE
11017,tt0112508,en,Billy Madison,1995-02-10,Billy Madison,FALSE
37141,tt0112438,en,The Babysitter,1995-10-17,The Babysitter,FALSE
9382,tt0112571,en,Boys on the Side,1995-02-03,Boys on the Side,FALSE
6715,tt0112757,en,The Cure,1995-04-21,The Cure,FALSE
18256,tt0112643,en,Castle Freak,1995-08-04,Castle Freak,FALSE
22625,tt0112679,en,Circle of Friends,1995-03-16,Circle of Friends,FALSE
2292,tt0109445,en,Clerks,1994-09-13,Clerks,FALSE
1909,tt0112883,en,Don Juan DeMarco,1994-10-01,Don Juan DeMarco,FALSE
8984,tt0109635,en,Disclosure,1994-12-09,Disclosure,FALSE
61813,tt0112899,en,Dream Man,1995-01-01,Dream Man,FALSE
4954,tt0109676,en,Drop Zone,1994-12-08,Drop Zone,FALSE
62488,tt0112854,it,Destiny Turns on the Radio,1995-04-28,Destiny Turns on the Radio,FALSE
10531,tt0109579,en,Death and the Maiden,1994-05-04,Death and the Maiden,FALSE
11929,tt0109642,en,Dolores Claiborne,1995-03-24,Dolores Claiborne,FALSE
8467,tt0109686,en,Dumb and Dumber,1994-12-16,Dumb and Dumber,FALSE
10451,tt0111797,zh,飲食男女,1994-08-03,Eat Drink Man Woman,FALSE
20156,tt0109759,en,Exotica,1994-09-24,Exotica,FALSE
18395,tt0109758,en,Exit to Eden,1994-10-14,Exit to Eden,FALSE
522,tt0109707,en,Ed Wood,1994-09-27,Ed Wood,FALSE
397,tt0113117,en,French Kiss,1995-05-05,French Kiss,FALSE
10525,tt0113097,en,Forget Paris,1995-05-19,Forget Paris,FALSE
27985,tt0113028,en,Far from Home: The Adventures of Yellow Dog,1995-01-13,Far from Home: The Adventures of Yellow Dog,FALSE
15789,tt0113198,en,A Goofy Movie,1995-04-07,A Goofy Movie,FALSE
27303,tt0113303,en,Hideaway,1995-03-03,Hideaway,FALSE
21183,tt0113089,en,Fluke,1995-06-02,Fluke,FALSE
10954,tt0109771,fr,Farinelli,1994-12-07,Farinelli,FALSE
47867,tt0113199,en,Gordy,1995-05-12,Gordy,FALSE
43475,tt0113234,en,Gumby: The Movie,1995-12-01,Gumby: The Movie,FALSE
72031,tt0109906,en,The Glass Shield,1994-09-16,The Glass Shield,FALSE
14275,tt0110057,en,Hoop Dreams,1994-09-12,Hoop Dreams,FALSE
1024,tt0110005,en,Heavenly Creatures,1994-09-02,Heavenly Creatures,FALSE
17207,tt0110066,en,Houseguest,1995-01-06,Houseguest,FALSE
13701,tt0110116,en,Immortal Beloved,1994-12-16,Immortal Beloved,FALSE
14819,tt0110006,en,Heavyweights,1995-02-17,Heavyweights,FALSE
32631,tt0113360,en,The Hunted,1995-02-24,The Hunted,FALSE
11777,tt0110099,en,I.Q.,1994-12-24,I.Q.,FALSE
628,tt0110148,en,Interview with the Vampire,1994-11-11,Interview with the Vampire,FALSE
87729,tt0113463,en,Jefferson in Paris,1995-03-31,Jefferson in Paris,FALSE
18713,tt0110189,en,The Jerky Boys,1995-02-03,The Jerky Boys,FALSE
6280,tt0110216,en,Junior,1994-11-22,Junior,FALSE
9061,tt0113501,en,Just Cause,1995-02-17,Just Cause,FALSE
37108,tt0113538,en,A Kid in King Arthur's Court,1995-08-11,A Kid in King Arthur's Court,FALSE
6071,tt0113552,en,Kiss of Death,1995-04-21,Kiss of Death,FALSE
11,tt0076759,en,Star Wars,1977-05-25,Star Wars,FALSE
9587,tt0110367,en,Little Women,1994-12-21,Little Women,FALSE
19101,tt0113670,en,A Little Princess,1995-05-10,A Little Princess,FALSE
49980,tt0110296,en,Ladybird Ladybird,1994-02-18,Ladybird Ladybird,FALSE
17961,tt0109731,fr,L'Enfer,1994-02-16,L'Enfer,FALSE
18183,tt0103994,es,Como agua para chocolate,1992-04-16,Like Water for Chocolate,FALSE
4476,tt0110322,en,Legends of the Fall,1994-12-16,Legends of the Fall,FALSE
11008,tt0110443,en,Major Payne,1995-03-24,Major Payne,FALSE
47504,tt0110365,en,Little Odessa,1994-10-27,Little Odessa,FALSE
32325,tt0107566,en,Mi Vida Loca,1994-06-08,Mi Vida Loca,FALSE
43742,tt0110391,en,Love Affair,1994-10-21,Love Affair,FALSE
28313,tt0113691,en,Losing Isaiah,1995-03-17,Losing Isaiah,FALSE
11318,tt0110428,en,The Madness of King George,1994-12-28,The Madness of King George,FALSE
3036,tt0109836,en,Frankenstein,1994-11-04,Mary Shelley's Frankenstein,FALSE
40490,tt0113755,en,Man of the House,1995-03-03,Man of the House,FALSE
24070,tt0110538,en,Mixed Nuts,1994-12-21,Mixed Nuts,FALSE
8986,tt0110516,en,Milk Money,1994-08-31,Milk Money,FALSE
10510,tt0110527,en,Miracle on 34th Street,1994-11-18,Miracle on 34th Street,FALSE
17402,tt0113808,en,Miami Rhapsody,1995-01-27,Miami Rhapsody,FALSE
38722,tt0113896,en,My Family,1995-05-03,My Family,FALSE
8438,tt0113870,en,Murder in the First,1995-01-20,Murder in the First,FALSE
11593,tt0110684,en,Nobody's Fool,1994-12-23,Nobody's Fool,FALSE
1945,tt0110638,en,Nell,1994-12-23,Nell,FALSE
39310,tt0113967,en,New Jersey Drive,1995-04-19,New Jersey Drive,FALSE
109560,tt0117169,en,New York Cop,1993-08-14,New York Cop,FALSE
56428,tt0106402,en,Beyond Bedlam,1994-04-22,Beyond Bedlam,FALSE
63105,tt0113948,en,Nemesis 2 - Nebula,1995-09-26,Nemesis 2 - Nebula,FALSE
131957,tt0110671,en,Nina Takes a Lover,1995-03-03,Nina Takes a Lover,FALSE
241,tt0110632,en,Natural Born Killers,1994-08-25,Natural Born Killers,FALSE
9058,tt0110737,en,Only You,1994-09-17,Only You,FALSE
527,tt0110729,en,Once Were Warriors,1994-09-02,Once Were Warriors,FALSE
18220,tt0114151,en,Poison Ivy II: Lily,1996-01-16,Poison Ivy II: Lily,FALSE
6950,tt0114069,en,Outbreak,1995-03-10,Outbreak,FALSE
101,tt0110413,fr,Léon,1994-09-14,Leon: The Professional,FALSE
63020,tt0114113,en,The Perez Family,1995-05-12,The Perez Family,FALSE
2307,tt0114210,en,A Pyromaniac's Love Story,1995-04-28,A Pyromaniac's Love Story,FALSE
680,tt0110912,en,Pulp Fiction,1994-09-10,Pulp Fiction,FALSE
41478,tt0114084,en,Panther,1995-11-10,Panther,FALSE
25296,tt0105652,zh,Pushing Hands,1992-02-01,Pushing Hands,FALSE
40156,tt0110889,en,Priest,1994-01-01,Priest,FALSE
11450,tt0110932,en,Quiz Show,1994-09-16,Quiz Show,FALSE
30304,tt0114129,en,Picture Bride,1995-05-05,Picture Bride,FALSE
10452,tt0110963,fr,La Reine Margot,1994-05-13,Queen Margot,FALSE
12106,tt0114214,en,The Quick and the Dead,1995-02-09,The Quick and the Dead,FALSE
161495,tt0114296,sv,Roommates,1995-03-01,Roommates,FALSE
3586,tt0110907,en,Prêt-à-Porter,1994-12-23,Prêt-à-Porter,FALSE
110,tt0111495,fr,Trois couleurs : Rouge,1994-05-27,Three Colors: Red,FALSE
108,tt0108394,fr,Trois couleurs : Bleu,1993-01-10,Three Colors: Blue,FALSE
109,tt0111507,fr,Trois couleurs : Blanc,1994-01-26,Three Colors: White,FALSE
159185,tt0110769,zh,Pao Da Shuang Deng,1994-10-14,"Red Firecracker, Green Firecracker",FALSE
36357,tt0114268,en,Rent-a-Kid,1995-01-01,Rent-a-Kid,FALSE
92769,tt0110965,en,Relative Fear,1995-10-03,Relative Fear,FALSE
28033,tt0114571,en,Stuart Saves His Family,1995-04-12,Stuart Saves His Family,FALSE
22586,tt0111333,en,The Swan Princess,1994-11-18,The Swan Princess,FALSE
14334,tt0111112,en,The Secret of Roan Inish,1994-01-01,The Secret of Roan Inish,FALSE
2636,tt0111255,en,The Specialist,1994-10-07,The Specialist,FALSE
2164,tt0111282,en,Stargate,1994-10-27,Stargate,FALSE
11395,tt0111070,en,The Santa Clause,1994-11-10,The Santa Clause,FALSE
278,tt0111161,en,The Shawshank Redemption,1994-09-23,The Shawshank Redemption,FALSE
9905,tt0111149,en,Shallow Grave,1994-12-22,Shallow Grave,FALSE
87078,tt0108260,en,Suture,1993-09-14,Suture,FALSE
12527,tt0106966,es,Fresa y chocolate,1993-01-01,Strawberry and Chocolate,FALSE
20306,tt0114594,en,Swimming with Sharks,1994-09-10,Swimming with Sharks,FALSE
36614,tt0111309,en,The Sum of Us,1994-07-12,The Sum of Us,FALSE
27993,tt0113936,en,Senior Trip,1995-09-08,Senior Trip,FALSE
31439,tt0110081,zh,活着,1994-06-30,To Live,FALSE
9067,tt0114614,en,Tank Girl,1995-03-31,Tank Girl,FALSE
9059,tt0114608,en,Tales from the Crypt: Demon Knight,1995-01-13,Tales from the Crypt: Demon Knight,FALSE
193,tt0111280,en,Star Trek: Generations,1994-11-17,Star Trek: Generations,FALSE
25066,tt0114609,en,Tales from the Hood,1995-05-24,Tales from the Hood,FALSE
46797,tt0111454,en,Tom & Viv,1994-04-15,Tom & Viv,FALSE
12122,tt0114852,en,Village of the Damned,1995-04-28,Village of the Damned,FALSE
11381,tt0114694,en,Tommy Boy,1995-03-31,Tommy Boy,FALSE
32636,tt0111590,en,Vanya on 42nd Street,1994-09-13,Vanya on 42nd Street,FALSE
36141,tt0114788,en,The Underneath,1995-04-28,The Underneath,FALSE
95963,tt0114888,en,The Walking Dead,1995-02-24,The Walking Dead,FALSE
1587,tt0108550,en,What's Eating Gilbert Grape,1993-12-17,What's Eating Gilbert Grape,FALSE
9271,tt0114857,en,Virtuosity,1995-08-04,Virtuosity,FALSE
2064,tt0114924,en,While You Were Sleeping,1995-04-21,While You Were Sleeping,FALSE
19855,tt0111667,en,The War,1994-11-04,The War,FALSE
60855,tt0109655,en,Double Happiness,1994-09-07,Double Happiness,FALSE
236,tt0110598,en,Muriel's Wedding,1994-09-29,Muriel's Wedding,FALSE
48287,tt0112435,en,The Baby-Sitters Club,1995-08-18,The Baby-Sitters Club,FALSE
3049,tt0109040,en,Ace Ventura: Pet Detective,1994-02-04,Ace Ventura: Pet Detective,FALSE
2759,tt0109045,en,"The Adventures of Priscilla, Queen of the Desert",1994-05-31,"The Adventures of Priscilla, Queen of the Desert",FALSE
12635,tt0106339,en,Backbeat,1994-04-01,Backbeat,FALSE
10497,tt0104779,en,Bitter Moon,1992-09-02,Bitter Moon,FALSE
11382,tt0109348,en,Bullets Over Broadway,1994-10-14,Bullets Over Broadway,FALSE
9331,tt0109444,en,Clear and Present Danger,1994-08-03,Clear and Present Danger,FALSE
10731,tt0109446,en,The Client,1994-07-20,The Client,FALSE
10464,tt0109484,en,"Corrina, Corrina",1994-08-12,"Corrina, Corrina",FALSE
34152,tt0109504,en,Crooklyn,1994-05-13,Crooklyn,FALSE
9495,tt0109506,en,The Crow,1994-05-11,The Crow,FALSE
29973,tt0109450,en,Cobb,1994-12-02,Cobb,FALSE
888,tt0109813,en,The Flintstones,1994-05-26,The Flintstones,FALSE
